# peacockdb cost-model calibration record (#153) — BARE-cuDF source.
# Column meanings are defined in peacockdb-core/tests/common/record.rs. What is
# specific to this source:
# node_type = the cuDF entry point, not a plan node: this chain has no plan.
# node_seq = position in the hand-written chain, restarted per execute() call. The
#   benchmark runs the chain several times, so a (query, label, node_seq) has one
#   row per run and they are repeated samples, not distinct regions.
# label = load or execute. The parquet read happens once, outside the timed chain.
# peacock_host_us = 0 by construction, not by measurement. There is no host
#   prologue here to measure — that absence is the whole point of this source.
# partitions/partition = 1/0 always: one stream, no partitioning.
# cuda_bytes = the mapped call's OUTPUT bytes, under the same formula the node
#   source uses (peacock::logical_size_from_table).
source	dataset	sf	query	label	node_seq	node_type	category	partitions	partition	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us	timing_mode	build_profile	allocator
cudf	tpch	40	q6	execute	12	cudf::apply_boolean_mask	cuda_filter_bytes	1	0	0	0	4565749	147245406	147245406	0	853	852	853	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	13	cudf::binary_operation	cuda_project_bytes	1	0	0	0	4565749	73622703	73622703	0	140	139	140	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	14	cudf::reduce	cuda_aggregate_bytes	1	0	0	0	1	16	16	0	69	69	69	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	0	cudf::cast	cuda_project_bytes	1	0	0	0	240012290	3870198177	3870198177	0	1406	1405	1406	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	1	cudf::cast	cuda_project_bytes	1	0	0	0	240012290	3870198177	3870198177	0	1409	1409	1409	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	2	cudf::cast	cuda_project_bytes	1	0	0	0	240012290	3870198177	3870198177	0	1408	1407	1408	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	3	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1262	1261	1262	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	4	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1245	1244	1245	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	5	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1607	1606	1607	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	6	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1608	1607	1608	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	7	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1613	1612	1613	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	8	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1641	1640	1641	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	9	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1633	1632	1633	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	10	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1634	1633	1634	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	11	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1636	1635	1636	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	12	cudf::apply_boolean_mask	cuda_filter_bytes	1	0	0	0	4565749	147245406	147245406	0	856	855	856	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	13	cudf::binary_operation	cuda_project_bytes	1	0	0	0	4565749	73622703	73622703	0	141	140	141	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	14	cudf::reduce	cuda_aggregate_bytes	1	0	0	0	1	16	16	0	69	68	69	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	0	cudf::cast	cuda_project_bytes	1	0	0	0	240012290	3870198177	3870198177	0	1407	1406	1407	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	1	cudf::cast	cuda_project_bytes	1	0	0	0	240012290	3870198177	3870198177	0	1409	1409	1409	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	2	cudf::cast	cuda_project_bytes	1	0	0	0	240012290	3870198177	3870198177	0	1410	1409	1410	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	3	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1260	1259	1260	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	4	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1243	1242	1243	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
